rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
m/johnny_english_strikes_again_2018,Johnny English Strikes Again,"The new adventure begins when a cyberattack reveals the identities of all active undercover agents in Britain, leaving Johnny English as the secret service's last hope. Called out of retirement, English dives headfirst into action with the mission to find the mastermind hacker. As a man with few skills and analogue methods, Johnny English must overcome the challenges of modern technology to make this mission a success.","Johnny English Strikes Again might get a few giggles out of viewers pining for buffoonish pratfalls, but for the most part, this sequel simply strikes out.",PG,Comedy,David Kerr,William Davies,"Rowan Atkinson, Olga Kurylenko, Ben Miller, Jake Lacy, Emma Thompson, Adam James, Ben Miller, David Mumeni, Miranda Hennessy, Samantha Russell",,1/8/2019,88,Universal Pictures,Rotten,37,109,Spilled,49,1902,24,40,69
m/joseph_and_the_amazing_technicolor_dreamcoat,Joseph and the Amazing Technicolor Dreamcoat,An adaptation of the hit Lloyd-Webber stage musical based on the Old Testament story of the youngest son of Jacob tells of his betrayal by his jealous brothers and of his being sold into slavery.,,NR,Musical & Performing Arts,"David Mallet, Steven Pimlott",,"Donny Osmond, Maria Freidman, Maria Friedman, Richard Attenborough, Robert Torti, Joan Collins, Christopher Biggins, Alex Jennings, Ian McNeice, Nicholas Colicos, Jeff Blumenkrantz, David J. Higgins, Shaun Henson, Patrick Clansy, Martin Callaghan, Sebastian Torkia",4/5/2000,12/3/2019,90,Universal,Fresh,86,7,Upright,81,10136,0,6,1
m/josie_and_the_pussycats,Josie and the Pussycats,"Josie (Rachael Leigh Cook), Melody (Tara Reid) and Val (Rosario Dawson) are three small-town girl musicians determined to take their rock band out of their garage and straight to the top, while remaining true to their look, style and sound. They get a record deal which brings fame and fortune but soon realize they are pawns of two people who want to control the youth of America. They must clear their names, even if it means losing fame and fortune.","This live-action update of Josie and the Pussycats offers up bubbly, fluffy fun, but the constant appearance of product placements seems rather hypocritical.",PG-13,Comedy,"Harry Elfont, Deborah Kaplan","John L. Goldwater, Dan DeCarlo, Deborah Kaplan, Harry Elfont","Rachael Leigh Cook, Rosario Dawson, Tara Reid, Alan Cumming, Parker Posey, Gabriel Mann, Paulo Costanzo, Missi Pyle, Tom Butler, Alexander Martin, Katherine Isabelle, Seth Green, Carson Daly, Eugene Levy, Faedragh Carpenter, Justin Chatwin, Marites Pineda, Kimberly Rimer, Corinne Reilly, Marnie Alton, Nicole Fraissinet, Jessica Murdoch, Juliana Wimbles, Zak Santiago, David Kopp, Sean J. Dory, Heather Robertson, Hiro Kanagawa, Kurt Max Runte, Claude De Martino, Colin Foo, Balinder Johal, Enuka Okuma, Clay St. Thomas, Erin Fitzgerald, Linda Koo, Serena Altschul, Mark Selinger, Sally Hershberber, Jann T. Carl, Stuart Lilley, Chris Lovick, Natalye Vivian, Karalee Patereson, Aries Spears, Dion Johnstone",4/11/2001,8/10/2016,98,Universal Pictures,Rotten,53,123,Spilled,52,71549,34,65,58
m/jt_leroy,J.T. LeRoy,"A young woman named Savannah Knoop spends six years pretending to be the celebrated author JT LeRoy, the made-up literary persona of her sister-in-law.","While it may leave some viewers wishing for a more in-depth exploration of its story and themes, J.T. Leroy offers a diverting dramatization of incredible real-life events.",R,Drama,Justin Kelly,"Justin Kelly, Savannah Knoop","Laura Dern, Kristen Stewart, Diane Kruger, Jim Sturgess, Courtney Love",4/26/2019,4/26/2019,108,Universal Pictures,Rotten,55,83,Spilled,42,52,22,46,37
m/judgment_night,Judgment Night,"New father Frank (Emilio Estevez) departs for a night out, joining friends Mike (Cuba Gooding Jr.) and Ray (Jeremy Piven) as they head to a boxing match. At the last minute, they are joined by John (Stephen Dorff), Frank's brother. Stuck in gridlock traffic, the guys take a shortcut that gets them lost. In a very dangerous neighborhood, they witness a murder by a gang leader called Fallon (Denis Leary). They flee, but Fallon now wants them hunted down and and eliminated.",,R,"Action & Adventure, Drama, Mystery & Suspense",Stephen Hopkins,"Lewis Colick, Kevin Jarre, Jere Cunningham","Emilio Estevez, Cuba Gooding Jr., Denis Leary, Stephen Dorff, Jeremy Piven, Peter Greene, Everlast, Michael Wiseman, Michael DeLorenzo, Lynda Gordon, Relioues Webb, Judy Taylor, Will Zahrn, Eugene Williams, Christine Harnos, Galyn Görg, Angela Alvarado, Lauren Robinson, Doug Wert, Rachel Watt, Diedre Kelly, Kathleen Rose Perkins, David Crowley, Stuart M. Abramson, Mark Phelan, Nigel Gibbs, Sean O'Grady, Lydell M. Cheshier, Donovan D. Ross, Michael Scranton, Robert S. Neville, Hank McGill",10/15/1993,3/11/2017,109,Universal Pictures,Rotten,35,20,Spilled,55,9674,5,7,13
m/jurassic_park,Jurassic Park,"In Steven Spielberg's massive blockbuster, paleontologists Alan Grant (Sam Neill) and Ellie Sattler (Laura Dern) and mathematician Ian Malcolm (Jeff Goldblum) are among a select group chosen to tour an island theme park populated by dinosaurs created from prehistoric DNA. While the park's mastermind, billionaire John Hammond (Richard Attenborough), assures everyone that the facility is safe, they find out otherwise when various ferocious predators break free and go on the hunt.","Jurassic Park is a spectacle of special effects and life-like animatronics, with some of Spielberg's best sequences of sustained awe and sheer terror since Jaws.",PG-13,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",Steven Spielberg,"John Micheal Crichton, Michael Crichton, David Koepp, Malia Scotch Marmo","Richard Attenborough, Sam Neill, Laura Dern, Jeff Goldblum, B.D. Wong, Samuel L. Jackson, Wayne Knight, Joseph Mazzello, Bob Peck, Martin Ferrero, Ariana Richards, Richard Kiley, Gerald R. Molen, Miguel Sandoval, Cameron Thor, Christopher John Fields, Whit Hertford, Dean Cundey, Jophery C. Brown, Whitby Hertford, Tom Mishler, Adrian Escober, Greg Burson, Samuel L",6/11/1993,5/18/2015,126,Universal Pictures,Certified-Fresh,91,128,Upright,91,1071352,34,117,11
m/jurassic_park_iii,Jurassic Park III,"After being persuaded by a wealthy businessman to conduct an aerial tour of Isla Sorna, InGen's second site for a failed Jurassic Park experiment, Dr. Alan Grant (Sam Neill) discovers the true reason for his invitation. A tragic accident maroons the party of seven, and they must attempt to escape with their lives.","Jurassic Park III is darker and faster than its predecessors, but that doesn't quite compensate for the franchise's continuing creative decline.",PG-13,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",Joe Johnston,"Jim Taylor (III), Alexander Payne, Peter Buchman","Sam Neill, William H. Macy, Téa Leoni, Alessandro Nivola, Trevor Morgan, Michael Jeter, John Diehl, Bruce A. Young, Laura Dern, Taylor Nichols, Mark Harelik, Julio Oscar Mechoso, Blake Michael Bryan, Sarah Danielle Madison, Linda Park, Sonia Jackson, Bruce French, Bernard Zilinskas, Rona Benson, Frank Clem",7/18/2001,1/2/2015,91,Universal Pictures,Rotten,49,186,Spilled,36,526869,42,91,95
m/jurassic_world,Jurassic World,"Located off the coast of Costa Rica, the Jurassic World luxury resort provides a habitat for an array of genetically engineered dinosaurs, including the vicious and intelligent Indominus rex. When the massive creature escapes, it sets off a chain reaction that causes the other dinos to run amok. Now, it's up to a former military man and animal expert (Chris Pratt) to use his special skills to save two young brothers and the rest of the tourists from an all-out, prehistoric assault.","Jurassic World can't match the original for sheer inventiveness and impact, but it works in its own right as an entertaining -- and visually dazzling -- popcorn thriller.",PG-13,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",Colin Trevorrow,"Derek Connolly, Colin Trevorrow, Rick Jaffa, Amanda Silver","Chris Pratt, Bryce Dallas Howard, Vincent D'Onofrio, Judy Greer, Nicholas John Robinson, Omar Sy, Jake Johnson (XVI), Nick Robinson, Lauren Lapkus, Katie McGrath, Ty Simpkins, B.D. Wong, Irrfan Khan, Brian Tee, Eddie J. Fernandez, Andy Buckley (II), Kelly Washington, Divine Prince Ty Emmecca, Jennifer Rikert Wolski, Matthew Cardarople, Gary Weeks, Fileena Bahris, Hélène Cardona, Eric Edelstein, Inder Kumar, Courtney J. Clark, Colby Boothman-Shepard, Colby Boothman, Jimmy Fallon, James DuMont, Matthew Burke, Michael Papajohn, Isaac Keys, Anna Talakkottur, Patrick Crowley, William Gary Smith, Chad Randall, Bill Ogilvie, Alan Tam, Chloe Perrin, Kevin Foster, Brad Bird, Yvonne Welch, Timothy Eulich, Bonnie Wild, Colin Trevorrow",6/12/2015,9/6/2016,124,Universal Pictures,Fresh,70,351,Upright,78,225795,55,247,104
m/jurassic_world_fallen_kingdom,Jurassic World: Fallen Kingdom,"Three years after the destruction of the Jurassic World theme park, Owen Grady and Claire Dearing return to the island of Isla Nublar to save the remaining dinosaurs from a volcano that's about to erupt. They soon encounter terrifying new breeds of gigantic dinos while uncovering a conspiracy that threatens the entire planet.","Jurassic World: Fallen Kingdom adds another set piece-packed entry to the blockbuster franchise, although genuinely thrilling moments are in increasingly short supply.",PG-13,"Action & Adventure, Drama, Science Fiction & Fantasy",J.A. Bayona,"Colin Trevorrow, Derek Connolly","Chris Pratt, Bryce Dallas Howard, Rafe Spall, Justice Smith, Daniella Pineda, James Cromwell, Ted Levine, B.D. Wong, Isabella Sermon, Geraldine Chaplin, Jeff Goldblum",6/22/2018,8/31/2018,128,Universal Pictures,Rotten,47,422,Spilled,48,29990,59,199,223
m/k9,K-9,"Michael Dooley (James Belushi) is a cop who likes to work alone. But while working a case to bust Lyman (Kevin Tighe), a notorious international drug lord, his boss (Ed O'Neill) assigns him a partner to assist. That partner is Jerry Lee, a drug-sniffing dog. A first Dooley can't stand his furry sidekick, especially since the dog seems to take pleasure in destroying Dooley's possessions. But when Dooley discovers that Jerry Lee's drug-sniffing skills are no joke, he warms up to the pooch.",,PG-13,"Action & Adventure, Comedy",Rod Daniel,"Steven Siegel, Scott Myers, Steve Siegel","Jim Belushi, Mel Harris, Kevin Tighe, Ed O'Neill, James Handy, Jerry Lee, Cotter Smith, Daniel Davis, John Snyder, Pruitt Taylor Vince, Judith Weiner, Sherman Howard, Jeff Allin, Bob Ari, Alan Blumenfeld, William Sadler, Marjorie Bransfield, Mark Mooring, David Haskell, Jerry Levine, Rick Cicetti, Marjorie Bransfeld, Dan Castellaneta, Wendel Meldrum, John Castellanos, Coleen Morris, McKeiver Jones III, J.W. Smith, Colleen Morris, Dean Hill, Gary Combs, Lucy Butler",6/1/1989,9/11/2015,102,MCA Universal Home Video,Rotten,22,9,Spilled,44,53118,1,2,7
m/k9_pi,K-9: P.I.,"Finally ready to settle into a relaxing retirement, police Detective Mike Dooley (James Belushi) and his trusty dog, Jerry Lee, inadvertently find themselves in the middle of a robbery investigation -- as suspects. With his pension now frozen until his name is cleared, Dooley is back on the case with Jerry to find the real criminals. However, since he's a suspect of an FBI investigation and therefore unable to access his old police resources, Dooley has to get creative.",,PG-13,"Action & Adventure, Comedy","Charles T. Kanganis, Richard J. Lewis, Rod Daniel",Gary Scott Thompson,"Jim Belushi, Barbara Tyson, Gary Basaraba, Ed O'Neill, Kevin Tighe, Kim Huffman, Christine Tucci, James Handel, Mel Harris, King, Christopher Shyer, Jody Racicot, Blu Mankuma, Duncan Fraser, Jason Schombing, Kevin Durand, Matthew Bennett, Jay Brazeau, Sarah Carter, Terry Chen, Dean Choe, Michael Eklund, Ellie Harvey, C. Michael Gray, Deejay Jackson, David Lewis, Angela Moore",7/30/2002,2/12/2014,106,Universal Studios Home Video,Rotten,0,6,Spilled,37,7615,0,0,6
m/kevin_hart_what_now,Kevin Hart: What Now?,"Comedic rock star Kevin Hart takes center stage in this groundbreaking, record-setting, sold-out performance of What Now?-filmed outdoors in front of more than 50,000 people at Philadelphia's Lincoln Financial Field -- marking the first time a comedian has ever performed to an at-capacity football stadium. The film takes Hart back to his hometown for the culmination of the biggest comedy tour in history.",Kevin Hart: What Now? packs in enough of the comedian's infectious energy to more than compensate for the lulls in a stand-up set that doesn't quite rank with his best.,R,Comedy,"Leslie Small, Tim Story","Kevin Hart, Joey Wells, Harry Ratchford","Kevin Hart, Halle Berry, Don Cheadle, Ed Helms, David Meunier, Joey Wells, Richardson Jones, Magali Amadei, Gabriel Tsai, Peter Mensah, Daniel Bernhardt, Dennis Keiffer, Ben Seaward, Ashley Dowling, Jeff Baumann (II), Sebastian Clay, Varo Kinsey, Will Horton, John Clausell",10/14/2016,1/3/2017,96,Universal Pictures,Fresh,76,59,Spilled,58,10366,23,45,14
m/kick_ass_2_2013,Kick-Ass 2,"Dave (Aaron Taylor-Johnson), aka Kick-Ass, and Mindy (Chloë Grace Moretz), aka Hit Girl, are trying to live as normal teenagers and briefly form a crime-fighting team. After Mindy is busted and forced to retire as Hit Girl, Dave joins a group of amateur superheroes led by Col. Stars and Stripes (Jim Carrey), a reformed mobster. Just as Dave and company start to make a real difference on the streets, the villain formerly known as Red Mist (Christopher Mintz-Plasse) rears his head yet again.",Kick-Ass 2 falls short in its attempt to emulate the original's unique blend of ultra-violence and ironic humor.,R,"Action & Adventure, Comedy",Jeff Wadlow,Jeff Wadlow,"Aaron Taylor-Johnson, Chloë Grace Moretz, Christopher Mintz-Plasse, John Leguizamo, Donald Faison, Robert Emms, Jim Carrey, Enzo Cilenti, Morris Chestnut, Yancy Butler, Claudia Lee, Amy Anzel, Clark Duke, Augustus Prew, Mary Kitchen, Matt Steinberg, Steven Mackintosh, Monica Dolan, Garrett M. Brown, Lyndsy Fonseca, Tom Benedict Knight, Sophie Wu, Paul Raposo, David Vena, Chris Chan Lee, Trevor Allan Davis, Lindy Booth, Cinna Vesterberg-Rosa, Ella Purnell, Tanya Fear, Charlie Clapham, Chuck Liddell, Daniel Kaluuya, Trenyce Cobbins, Wesley Morgan, King Lau, Benedict Wong, Chantelle Chung, Andy Nyman, Tom Wu, Olga Kurkulina, Angelica Jopling, Dimitry Arvantis, Iain Glen, Eben Young, John Bregar, Mike Chute, Chris Cordell, Shane Daly, Kevin Kase, Martin Roach, John Schwab, Todd Boyce, Jesse Camacho, Stewart Scudamore, Mif, Rob Archer, James Cutler, Adam Bond, Nicolas Cage",8/16/2013,9/2/2014,103,Universal Pictures,Rotten,32,210,Spilled,57,112861,45,67,143
m/kicking_and_screaming,Kicking & Screaming,"As a child, Phil Weston (Will Ferrell) was never able to live up to the demands of his overbearing father, Buck (Robert Duvall), who wanted Phil to be an athlete. Now a parent himself, Phil has inherited his father's competitive nature, while his son, Sam (Dylan McLaughlin), has inherited Phil's lack of athletic talent. Serving as Sam's soccer coach, Phil hopes to turn his last-place team of losers into champions, so they can beat the rival team coached by Buck.",The script is mediocre and fails to give Ferrell a proper comedic showcase.,PG,"Comedy, Kids & Family",Jesse Dylan,"Leo Benvenuti, Steve Rudnick","Will Ferrell, Robert Duvall, Mike Ditka, Kate Walsh, Musetta Vander, Dylan McLaughlin, Josh Hutcherson, Steven Anthony Lawrence, Steven Anthony, Jeremy Bergman, Elliot Cho, Erik Walker, Dallas McKinney, Francesco Liotti, Alessandro Ruggiero, Sammy Fine, Timmy Deters, Dan Metcalfe, Dave Herman, Rachael Harris, Laura Kightlinger, Jim Turner, Julia Campbell, Phill Lewis, David Bowe, Matt Winston, Susan Barnes, Lu Elrod, Tom Virtue, Karly Rothenberg, Joseph R. Sicari, Scott Adsit, Peter Jason, Jeffrey Noah, Kaitlyn Arens",5/13/2005,7/3/2012,94,Universal Pictures,Rotten,41,143,Spilled,43,70253,36,59,84
m/kindergarten_cop,Kindergarten Cop,"In this action-comedy, unusual circumstances find big, brawny cop John Kimble (Arnold Schwarzenegger) posing as a kindergarten teacher in order to apprehend major drug lord Cullen Crisp (Richard Tyson), as well as his ruthless accomplice and mother, Eleanor (Carroll Baker). While pretending to be a kid-friendly instructor, Kimble falls for pretty fellow teacher Joyce Palmieri (Penelope Ann Miller) as he battles both unruly children and dangerous bad guys.","Arnold Schwarzenegger substitutes his action brio with some refreshingly adept comedic timing, but Kindergarten Cop is too grim for children and too cloying for adults.",PG-13,"Action & Adventure, Comedy, Cult Movies, Mystery & Suspense",Ivan Reitman,"Murray Salem, Herschel Weingrod, Timothy Harris","Arnold Schwarzenegger, Penelope Ann Miller, Pamela Reed, Linda Hunt, Richard Tyson, Carroll Baker, Cathy Moriarty, Park Overall, Jayne Brook, Joseph Cousins, Christian Cousins, Richard Portnow, Tom Kurlander, Alix Koromzay, Betty Lou Henson, Heidi Swedberg, Justin Page, Peter Rakow, Sarah Rose Karr (II), Marissa Rosen, Ben McCreary, Miko Hughes, Robert Cave, Ben Diskin, Tameka Runnels, Medha Garg, Brian Wagner, John Christian Graas, Jim Jim Jackson, Ian Baumer, Amy Wald, Tiffany Materas, Krystle Materas, James Chance, Adam Wylie, Nicole Nagorsky, Ross Malinger, Amber Reaves, Odette Annable, Tina Hart, Emily Ann Lloyd, Haley Urman, Bethany Jaye Allyn, Zachary March, Anthony Wong, Peter Mark Vasquez, Remone Bradley, Stephen Root, Leo Lee, Robert Nelson, Molly Cleator, Gary Hollis, Susan Burns, Tom Dugan, Roma, Jason Stuart, John Hammil, Kim Delgado, Ray Glanzmann, Rick Jones, Ed Crick, Tiffany Reaves, Jason Reitman",12/21/1990,6/15/2012,111,MCA Universal Home Video,Rotten,51,37,Spilled,52,328715,8,19,18
m/kindergarten_cop_2,Kindergarten Cop 2,"A gruff FBI agent goes under cover as a kindergarten teacher. He's there to recover stolen data, but first he'll have to learn to survive in the politically correct world of elementary education.",,PG-13,Comedy,Don Michael Paul,David H. Steinberg,"Dolph Lundgren, Sarah Strange, Andre Tricoteux, Bill Bellamy, Enid-Raye Adams, Rebecca Olson (VII)",6/13/2016,9/6/2016,100,Universal Pictures Home Entertainment,Rotten,29,7,Spilled,24,403,0,2,5
m/king_kong,King Kong,"Peter Jackson's expansive remake of the 1933 classic follows director Carl Denham (Jack Black) and his crew on a journey from New York City to the ominous Skull Island to film a new movie. Accompanying him are playwright Jack Driscoll (Adrien Brody) and actress Ann Darrow (Naomi Watts), who is whisked away by the monstrous ape, Kong, after they reach the island. The crew encounters dinosaurs and other creatures as they race to rescue Ann, while the actress forms a bond with her simian captor.","Featuring state-of-the-art special effects, terrific performances, and a majestic sense of spectacle, Peter Jackson's remake of King Kong is a potent epic that's faithful to the spirit of the 1933 original.",PG-13,Action & Adventure,Peter Jackson,"Fran Walsh, Philippa Boyens, Peter Jackson","Naomi Watts, Jack Black, Adrien Brody, Thomas Kretschmann, Colin Hanks, Jamie Bell, Lobo Chan, Evan Parke, John Sumner, Craig Hall, Andy Serkis, Kyle Chandler, William Johnson, Mark Hadlow, Geraldine Brophy, David Denis, David Pittu, Pip Mushin, Peter McKenzie, Jim Knobeloch, Ric Herbert, Lee Donahue, Tom Hobbs, Tiriel Mora, Lee Hartley, Ray Woolf, Billy Jackson, Katie Jackson, Tania Rodger, Samuel Taylor, Philip Grieve, Jacinta Wawatai, Matthew Dravitzki",12/14/2005,10/1/2015,187,Universal Pictures,Certified-Fresh,84,267,Spilled,50,33766734,50,224,43
m/king_ralph,King Ralph,"When the royal family is accidentally killed, the heir to the throne proves to be a loutish American named Ralph Jones (John Goodman). Overnight, Ralph goes from sleazy Las Vegas lounge singer to King of England, and it's royal secretary Cedric Willingham's (Peter O'Toole) job to try to civilize him. But it's not easy weaning Ralph off of fast food, and even harder keeping him away from a kindly stripper (Camille Coduri). Meanwhile, the next would-be heir (John Hurt) plots Ralph's demise.",,PG,Comedy,David S. Ward,David S. Ward,"John Goodman, Peter O'Toole, John Hurt, Camille Coduri, Richard Griffiths, Leslie Phillips, James Villiers, Natasha Richardson, Joely Richardson, Niall O'Brien, Julian Glover, Judy Parfitt, Ed Stobart, Gedren Heller, Rudolph Walker, Michael Johnson, Ann Beach, Jack Smethurst, Roger Ashton-Griffiths, Dr. Brian Greene, Dallas Adams, Adele Lakeland, Josanne Haydon-Pearce, Vanessa Lee Hicks, Jazzi Northover, Dawn Spence, Guy Fithen, Ian Gelder, Cameron Blakely, Caroline Paterson, Sally Nesbitt, Patrick Cremin, Richard Whitmore, Jennie Stoller, Kirk St.James, Tim Seely, Gareth Forwood, Alan McMahon, Richard Bebb, David Stoll, Chantal-Claire, Topaz Hasfal-Schou, Charlotte Pyecroft, Paul Beech, Angus MacKay, Topaze Hasfal-School, Mary Selway, Brian Greene",2/15/1991,2/12/2014,97,MCA Universal Home Video,Rotten,27,11,Spilled,27,19607,2,3,8
m/kiss_of_the_vampire_1963,Kiss of the Vampire,A professor (Clifford Evans) in black rescues stranded 1910 newlyweds from a Bavarian doctor's (Noel Willman) vampire villa.,,R,"Classics, Drama, Horror",Don Sharp,"Anthony Hinds, John Elder","Edward de Souza, Clifford Evans, Jennifer Daniel, Noel Willman, Barry Warren, Jacqueline Wallis, Isobel Black, Peter Madden, Vera Cook, Brian Oulton, Noel Howlett, John Harvey, Stan Simmons, Olga Dickie, Margaret Read, Elizabeth Valentine",9/11/1963,9/14/2016,88,Universal,Fresh,88,8,Upright,62,1170,1,7,1
m/knocked_up,Knocked Up,"Rising journalist Alison Scott (Katherine Heigl) hits a serious bump in the road after a one-night stand with irresponsible slacker Ben Stone (Seth Rogen) results in pregnancy. Rather than raise the baby on her own, she decides to give Ben a chance to prove he is father material. However, he is unsure if he is ready to be a parent, and both wonder if they would be compatible lifetime partners.","Knocked Up is a hilarious, poignant and refreshing look at the rigors of courtship and child-rearing, with a sometimes raunchy, yet savvy script that is ably acted and directed.",R,"Comedy, Romance",Judd Apatow,Judd Apatow,"Katherine Heigl, Seth Rogen, Paul Rudd, Leslie Mann, Jason Segel, Jay Baruchel, Jonah Hill, Martin Starr, Charlyne Yi, Iris Apatow, Maude Apatow, Joanna Kerns, Harold Ramis, Alan Tudyk, Kristen Wiig, Bill Hader, Ken Jeong, Steve Carell, Craig Robinson, James Franco, Tim Bagley, Stephanie Mnookin, Adam Scott, Loudon Wainwright III, Ryan Seacrest, J.P. Manoux, Mo Collins, B.J. Novak, Tami Sagher, Brianna Brown, Catherine Reitman, Nick Thune, Paul Feig, Ben Meyerson, Wayne Federman, Melinda Bennett, Matthew McKane, Steven Brill, Ana Mercedes, Nadine Griffith, Diane Schaller, Emerson Riley, Nautica Thorn, Mary Brill, Lolita Matrolia, Joseph T. Mastrolia, Tracy Hartley",6/1/2007,6/15/2012,129,Universal,Certified-Fresh,90,252,Upright,83,2084929,55,226,26
m/kpax,K-PAX,"Tells the story of a mysterious patient (Kevin Spacey) at a mental hospital who claims to be from a distant planet called K-PAX. As his psychiatrist (Jeff Bridges) tries to figure out exactly how to help the patient, he gradually begins to realize that the so-called alien is having a remarkable effect on the mental health of the hospital's other patients.","For those who have seen One Flew Over the Cuckoo's Nest or Starman, K-Pax may not hold anything new. The movie works best as a showcase for Kevin Spacey and Jeff Bridges.",PG-13,"Comedy, Drama, Mystery & Suspense, Science Fiction & Fantasy",Iain Softley,Charles Leavitt,"Kevin Spacey, Jeff Bridges, Mary McCormack, Alfre Woodard, David Patrick Kelly, Saul Williams, Peter Gerety, Celia Weston, Ajay Naidu, Tracy Vilar, Melanee Murray, John Toles-Bey, Kimberly Scott, Conchata Ferrell, Vincent Laresca, Mark Christopher Lawrence, Brian Howe, William Saul, Mary Mara, Tess McCarthy, Natasha Dorfhuber, Brandon Michael Depaul, Aaron Paul, William Lucking, Kelly Connell, Peter Maloney, Lance Nichols, Paul Linke, Christopher Jason Brown, Greg Lewis, Clarke Peters, Olga Merediz, Joe Holt, Lola Pashalinski, Kateri Walker, Katya Abelsky, Scott Lincoln, Clebert Ford, Norman Alden, Rawle D. Lewis, Erik LaRay Harvey, Zofia Borucka, Tony Rhune, Vincent Capone",10/26/2001,3/18/2014,120,Universal Pictures,Rotten,42,142,Upright,75,79449,34,60,82
m/krampus,Krampus,,"Krampus is gory good fun for fans of non-traditional holiday horror with a fondness for Joe Dante's B- movie classics, even if it doesn't have quite the savage bite its concept calls for.",PG-13,Horror,Michael Dougherty,"Michael Dougherty, Zach Shields, Michael Dougherty, Todd Casey","Emjay Anthony, Adam Scott, Toni Collette, David Koechner, Allison Tolman, Conchata Ferrell, Stefania Owen, Krista Stadler, Maverick Flack, Ivy George, Luke Hawker, Sophie Gannon, Sage Hunefeld, Gareth Ruck, ark Atkin, Lolo Owen, Tess Jamieson Karaha, Trevor Bau, Queenie Samuel, Curtis Vowell, Seth Green, Brett Beattie, Breehn Burns, Justin Roiland, Amy Brighton, Felicity Hamill, Ravi Narayan, Collin Dean, Kelly Lily Marie, Clare Odell, Pascal Ackerman, Skye Broberg, Jessie Carson, Leith Towers",12/4/2015,,,Universal Pictures,Fresh,66,128,Spilled,51,26612,22,85,43
m/kuffs,Kuffs,"Down on his luck, George Kuffs (Christian Slater) is a broke young man with a pregnant girlfriend (Milla Jovovich). Desperate for money, he travels to San Francisco to visit his older brother, Brad (Bruce Boxleitner), to ask for a loan. Their reunion is short-lived, however, since Brad, who operates an auxiliary police unit, is murdered. Intent on bringing his sibling's killer to justice and continuing his patrol, George uncovers a network of corruption and sets out to expose those involved.",,PG-13,"Action & Adventure, Comedy",Bruce A. Evans,"Raynold Gideon, Bruce A. Evans, Gideon Ray","Christian Slater, Tony Goldwyn, Milla Jovovich, Bruce Boxleitner, George De La Pena, Troy Evans, Lu Leonard, Leon Rippy, Ric Waugh, Steve Holladay, Chad Randall, Clarke Coleman, Craig Benton, Ashley Judd, Sally Dennison, Joshua Cadman, Mary Ellen Trainor, Aki Aleong, Stephen Park, Keith Polk, Henry G. Sanders, Dom Magwili, Julie Selzer, Fr. Kevin Leidich, E. Keith Polk, Susan Schelling, Loren Blackwell, Kim Robillard, Gary Munch, Don Schlossman, Henry Sanders, Janis Uhley, Roger Rook, Don S. Davis, Phil Mishkin, Jon Greene, Steve Park, Julie Strain, Zona Jaguar, Erik Rondell, Ross Partridge, John Apicella, Megan Derry, Ryan Cutrona, Scott Williamson, Dennis Holahan, Patricia J. Earnest, Tim A. Davison, Thunder, Joe Hart, Kenny Endoso, Al Goto, Allan A. Apone, Willie Leong, Karen D'Ettore, Kelly D'Ettore, Alexandra Paul",,9/10/2015,101,MCA Universal Home Video,Rotten,28,18,Spilled,48,10345,2,5,13
m/kull_the_conqueror,Kull the Conqueror,"After five years as a slave, warrior Kull (Kevin Sorbo) travels to the shores of the fantastical kingdom of Valusia, where he slays mad King Borna (Terry O'Neill). Inheriting the crown, Kull begins an ambitious program of bringing freedom and tolerance to Valusia, which displeases Gen. Taligaro (Thomas Ian Griffith) and the royal court's advisers. Determined to unseat Kull, Taligaro has a wizard resurrect the witch Akivasha (Tia Carrere) to seduce and destroy the new monarch.",,PG-13,"Action & Adventure, Science Fiction & Fantasy",John Nicolella,"John Nicolella, Robert E. Howard, Charles Edward Pogue, Charles E. Pogue","Kevin Sorbo, Tia Carrere, Thomas Ian Griffith, Litefoot, Karina Lombard, Roy Brocksmith, Harvey Fierstein, Edward Tudor Pole, Douglas Henshall, Sven Ole Thorsen, Terry O'Neill, Joe Shaw, Pat Roach, John Hallam, Peter Petruna, Boris Bacik, Paul Kynman, Paul Weston",8/29/1997,8/10/2016,91,Universal Pictures,Rotten,25,20,Spilled,24,9569,4,5,15
